ERR1465792	ERR1367652	0
ERR1465793	ERR1367634	0
ERR1633780	ERR1193747	0
SRR5114019	SRR3205958	0
ERR1161624	ERR1161623	3.04014030356624
ERR1193903	ERR1193900	11.1665708795551
ERR1227529	ERR1227527	12.1266501546041
ERR1227530	ERR1227529	3.03660113198935
ERR1544432	ERR1544431	0
ERR1544435	ERR1544431	5.05872905818429
ERR1544435	ERR1544432	5.05165309729836
ERR1544436	ERR1544431	5.05497588665313
ERR1544436	ERR1544432	5.05131490691503
ERR1544436	ERR1544435	1.01060646451969
ERR1544437	ERR1544431	1.01302092077719
ERR1544437	ERR1544432	2.0319710001983
ERR1544437	ERR1544435	6.10010406440443
ERR1544437	ERR1544436	6.09493203753209
ERR1544438	ERR1544431	4.04443916014771
ERR1544438	ERR1544432	4.05387924383034
ERR1544438	ERR1544435	2.02858867611306
ERR1544438	ERR1544436	2.0262469391994
ERR1544438	ERR1544437	6.06747344544476
ERR1544439	ERR1544431	4.03818441382167
ERR1544439	ERR1544432	4.04578049969568
ERR1544439	ERR1544435	1.01213722967326
ERR1544439	ERR1544436	1.01153693387819
ERR1544439	ERR1544437	6.0749325000616
ERR1544439	ERR1544438	1.01038240792966
ERR1544440	ERR1544431	4.04038888117859
ERR1544440	ERR1544432	5.0548340099517
ERR1544440	ERR1544435	2.02321612389353
ERR1544440	ERR1544436	1.0105724672584
ERR1544440	ERR1544437	4.05599277967312
ERR1544440	ERR1544438	2.02257921976581
ERR1544440	ERR1544439	1.0102498960452
ERR1544441	ERR1544431	4.05221686143263
ERR1544441	ERR1544432	4.06351737682682
ERR1544441	ERR1544435	1.01666821049962
ERR1544441	ERR1544436	1.01568386687922
ERR1544441	ERR1544437	5.03898092198984
ERR1544441	ERR1544438	2.02223588938405
ERR1544441	ERR1544439	0
ERR1544441	ERR1544440	2.02768965742472
ERR1555045	ERR1555043	6.05174230232047
ERR1555048	ERR1555047	0
ERR1555053	ERR1555041	0
ERR1555054	ERR1555043	1.00895669289012
ERR1555054	ERR1555045	0
ERR1555056	ERR1555049	2.01930852931508
ERR1555059	ERR1555058	2.02044216479032
ERR1555062	ERR1555058	11.1257514855579
ERR1633964	ERR1633956	5.06344341520446
ERR1664621	ERR1227528	9.26904051256643
ERR1664624	ERR1664623	0
ERR1664625	ERR1664623	0
ERR1664625	ERR1664624	0
ERR1664626	ERR1664623	0
ERR1664626	ERR1664624	0
ERR1664626	ERR1664625	0
ERR1664627	ERR1664623	0
ERR1664627	ERR1664624	0
ERR1664627	ERR1664625	0
ERR1664627	ERR1664626	0
ERR1664628	ERR1664623	0
ERR1664628	ERR1664624	0
ERR1664628	ERR1664625	0
ERR1664628	ERR1664626	0
ERR1664628	ERR1664627	1.02017115750378
ERR1664630	ERR1664629	0
ERR1664631	ERR1664629	1.02318004789642
ERR1664631	ERR1664630	1.01294849217915
ERR1664632	ERR1664629	0
ERR1664632	ERR1664630	0
ERR1664632	ERR1664631	0
ERR1664633	ERR1664629	1.02354446820213
ERR1664633	ERR1664630	1.01322669851274
ERR1664633	ERR1664631	0
ERR1664633	ERR1664632	0
ERR1664634	ERR1664629	0
ERR1664634	ERR1664630	0
ERR1664634	ERR1664631	0
ERR1664634	ERR1664632	0
ERR1664634	ERR1664633	0
ERR1664635	ERR1664621	10.1714872838477
ERR1664636	ERR1664621	9.19445974655812
ERR1664636	ERR1664635	0
ERR1664637	ERR1664621	10.2138753673295
ERR1664637	ERR1664635	0
ERR1664637	ERR1664636	0
ERR1664638	ERR1664621	9.1862959604393
ERR1664638	ERR1664635	0
ERR1664638	ERR1664636	0
ERR1664638	ERR1664637	0
ERR1664639	ERR1664621	9.19170854314081
ERR1664639	ERR1664635	0
ERR1664639	ERR1664636	0
ERR1664639	ERR1664637	0
ERR1664639	ERR1664638	0
ERR1664640	ERR1664621	10.2167122232121
ERR1664640	ERR1664635	0
ERR1664640	ERR1664636	0
ERR1664640	ERR1664637	0
ERR1664640	ERR1664638	0
ERR1664640	ERR1664639	0
ERR1664641	ERR1664619	7.1921116903196
ERR1664641	ERR1664629	10.2302853316007
